Timestamp,From Bank,Account,To Bank,Account,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering
2022/09/01 00:05,020,800952940,020,800952940,21126.92,US Dollar,21126.92,US Dollar,Reinvestment,0
2022/09/01 00:03,031811,800A8FCD0,031811,800A8FCD0,4455.63,US Dollar,4455.63,US Dollar,Reinvestment,0
2022/09/01 00:28,001638,800A8FE50,001638,800A8FE50,4755.32,US Dollar,4755.32,US Dollar,Reinvestment,0
2022/09/01 00:05,031813,800A91030,031813,800A91030,295.65,US Dollar,295.65,US Dollar,Reinvestment,0
2022/09/01 00:16,031993,800B63C60,031993,800B63C60,3065.41,US Dollar,3065.41,US Dollar,Reinvestment,0
2022/09/01 00:15,001277,80092A7D0,011968,800B69E00,473.00,US Dollar,473.00,US Dollar,Cheque,0
2022/09/01 00:15,001638,800A8FE50,020,800B99960,2863.22,US Dollar,2863.22,US Dollar,Cheque,0
2022/09/01 00:22,001277,800B999B0,001277,800B999B0,559.19,US Dollar,559.19,US Dollar,Reinvestment,0
2022/09/01 00:22,021414,80092A6C0,0122459,80AE66170,52.12,US Dollar,52.12,US Dollar,Credit Card,0
2022/09/01 00:06,01217,80092A780,011,80132E8A0,21.96,US Dollar,21.96,US Dollar,Credit Card,0
2022/09/01 00:03,011265,80092AC50,023041,80690A920,53.17,US Dollar,53.17,US Dollar,Credit Card,0
2022/09/01 00:28,00394,80092B090,008801,80690A9C0,6.60,US Dollar,6.60,US Dollar,Credit Card,0
2022/09/01 00:03,01639,80092C5F0,003653,810135120,38.45,US Dollar,38.45,US Dollar,Credit Card,0
2022/09/01 00:24,001277,80093C800,0219975,8034B3870,34.67,US Dollar,34.67,US Dollar,Credit Card,0
2022/09/01 00:12,001110,80093CC60,0122459,80AE66170,11.37,US Dollar,11.37,US Dollar,Credit Card,0
2022/09/01 00:25,012,80093CD00,027234,80AE71680,6.84,US Dollar,6.84,US Dollar,Credit Card,0
2022/09/01 00:18,021414,80093CED0,0029264,81013D0A0,0.78,US Dollar,0.78,US Dollar,Credit Card,0
2022/09/01 00:14,011222,80093DA30,0117916,81013A5C0,9.53,US Dollar,9.53,US Dollar,Credit Card,0
2022/09/01 00:10,011222,800B63A50,011,80132E8A0,41.01,US Dollar,41.01,US Dollar,Credit Card,0
2022/09/01 00:12,020,800B63DE0,0219975,8034B3870,1.82,US Dollar,1.82,US Dollar,Credit Card,0
2022/09/01 00:16,01422,800B69DB0,0110856,80DFEBEE0,27.07,US Dollar,27.07,US Dollar,Credit Card,0
2022/09/01 00:24,011968,800B69E00,0110856,80DFEBEE0,282.37,US Dollar,282.37,US Dollar,Credit Card,0
2022/09/01 00:21,020,800B6A1B0,0122459,80AE66170,41.85,US Dollar,41.85,US Dollar,Credit Card,0
2022/09/01 00:18,001889,8009EB590,002545,81013ED10,19.20,US Dollar,19.20,US Dollar,Credit Card,0
2022/09/01 00:01,020,800B99960,008801,80690A9C0,147.63,US Dollar,147.63,US Dollar,Credit Card,0
2022/09/01 00:06,001277,800B999B0,001277,800B999B0,10.48,US Dollar,10.48,US Dollar,Reinvestment,0
2022/09/01 00:29,01291,800B9BC30,01291,800B9BC30,59713.16,US Dollar,59713.16,US Dollar,Reinvestment,0
2022/09/01 00:22,012,800BA4BE0,01422,800B9BC80,111111.00,US Dollar,111111.00,US Dollar,Cheque,0
2022/09/01 00:17,001277,800BA09D0,001277,800BA09D0,5259.14,US Dollar,5259.14,US Dollar,Reinvestment,0
2022/09/01 00:23,032042,800BA0F40,001439,800BBF6C0,0.01,US Dollar,0.01,US Dollar,Cheque,0
2022/09/01 00:25,001807,800BBF0C0,011,800BA4C30,19302.00,US Dollar,19302.00,US Dollar,Cheque,0
2022/09/01 00:28,01231,800BA4F40,01231,800BA4F40,1190.82,US Dollar,1190.82,US Dollar,Reinvestment,0
2022/09/01 00:26,032050,800BA59F0,032050,800BA59F0,609.17,US Dollar,609.17,US Dollar,Reinvestment,0
2022/09/01 00:19,02860,800BA6B40,011222,800BBE6F0,3400.37,US Dollar,3400.37,US Dollar,ACH,0
2022/09/01 00:21,001807,800BBF0C0,001807,800BBF0C0,7055.95,US Dollar,7055.95,US Dollar,Reinvestment,0
2022/09/01 00:04,001439,800BBF4A0,001439,800BBF4A0,6683.36,US Dollar,6683.36,US Dollar,Reinvestment,0
2022/09/01 00:02,001439,800BBF6C0,0224,800BC0ED0,400.00,US Dollar,400.00,US Dollar,ACH,0
2022/09/01 00:06,01291,800B9BC30,01291,800B9BC30,3.46,US Dollar,3.46,US Dollar,Reinvestment,0
2022/09/01 00:29,01422,800B9BC80,0261455,817C3BC30,28.47,US Dollar,28.47,US Dollar,Credit Card,0
2022/09/01 00:04,01394,800BA0980,0219368,81B5F74D0,0.58,US Dollar,0.58,US Dollar,Credit Card,0
2022/09/01 00:23,012,800BA4BE0,012,800BA4BE0,14.70,US Dollar,14.70,US Dollar,Reinvestment,0
2022/09/01 00:07,011,800BA4C30,0231039,80DE8B440,152.00,US Dollar,152.00,US Dollar,Credit Card,0
2022/09/01 00:19,021566,800BA4CD0,011047,801D8C110,130.39,US Dollar,130.39,US Dollar,Credit Card,0
2022/09/01 00:01,012063,800BA4D20,012063,800BA4D20,15.27,US Dollar,15.27,US Dollar,Reinvestment,0
2022/09/01 00:19,00394,800BA4EF0,0023747,810190500,43.81,US Dollar,43.81,US Dollar,Credit Card,0
2022/09/01 00:06,01231,800BBE260,0261455,817C3BC30,189.60,US Dollar,189.60,US Dollar,Credit Card,0
2022/09/01 00:10,011222,800BBE6F0,0261455,817C3BC30,48.58,US Dollar,48.58,US Dollar,Credit Card,0
2022/09/01 00:04,001439,800BBF4A0,001439,800BBF4A0,8.13,US Dollar,8.13,US Dollar,Reinvestment,0
2022/09/01 00:11,001439,800BBF6C0,001439,800BBF6C0,11.98,US Dollar,11.98,US Dollar,Reinvestment,0
2022/09/01 00:02,01422,800BC0E30,0220729,809E507C0,143.65,US Dollar,143.65,US Dollar,Credit Card,0
2022/09/01 00:18,0224,800BC0ED0,0259461,81A99A780,9.22,US Dollar,9.22,US Dollar,Credit Card,0
2022/09/01 00:00,001120,800BC4DC0,0037146,80FE04360,0.36,US Dollar,0.36,US Dollar,Credit Card,0
2022/09/01 00:11,011701,800BC6AF0,011701,800BC6AF0,1107318.59,US Dollar,1107318.59,US Dollar,Reinvestment,0
2022/09/01 00:28,00349,800BC6CC0,00349,800BC6CC0,4940.92,US Dollar,4940.92,US Dollar,Reinvestment,0
2022/09/01 00:29,032081,800BC6D10,001439,800BDF9C0,41.11,US Dollar,41.11,US Dollar,Wire,0
2022/09/01 00:05,011265,800BD0DD0,00349,800BC6E90,2672.39,US Dollar,2672.39,US Dollar,ACH,0
2022/09/01 00:14,011495,800BC8570,011495,800BC8570,9944.83,US Dollar,9944.83,US Dollar,Reinvestment,0
2022/09/01 00:21,001439,800BC93A0,001439,800BC93A0,6924.15,US Dollar,6924.15,US Dollar,Reinvestment,0
2022/09/01 00:26,001277,800BC93F0,001277,800BC93F0,4400.96,US Dollar,4400.96,US Dollar,Reinvestment,0
2022/09/01 00:21,021393,800BDE650,001120,800BCE950,5329268.00,US Dollar,5329268.00,US Dollar,Cheque,0
2022/09/01 00:25,032091,800BCEE60,001277,800BC93F0,1674.05,US Dollar,1674.05,US Dollar,Cheque,0
2022/09/01 00:22,011265,800BD0DD0,011701,800BDDA30,6645.00,US Dollar,6645.00,US Dollar,ACH,0
2022/09/01 00:29,021393,800BDE650,021393,800BDE650,3204.10,US Dollar,3204.10,US Dollar,Reinvestment,0
2022/09/01 00:23,00349,800BC6CC0,01217,800BDE6A0,46720.00,US Dollar,46720.00,US Dollar,ACH,0
2022/09/01 00:29,001439,800BDF9C0,001439,800BDF9C0,4081.72,US Dollar,4081.72,US Dollar,Reinvestment,0
2022/09/01 00:18,020,800057660,011495,800BC8570,154661.00,US Dollar,154661.00,US Dollar,ACH,0
2022/09/01 00:20,00349,800BC6E90,021566,816C60240,40.84,US Dollar,40.84,US Dollar,Credit Card,0
2022/09/01 00:02,011047,800BC8430,028625,80362AF40,12.19,US Dollar,12.19,US Dollar,Credit Card,0
2022/09/01 00:05,001277,800BC93F0,001277,800BC93F0,3.81,US Dollar,3.81,US Dollar,Reinvestment,0
2022/09/01 00:09,001120,800BCE950,021566,816C60240,38.74,US Dollar,38.74,US Dollar,Credit Card,0
2022/09/01 00:02,001439,800BCF200,005855,80A88ABA0,4.12,US Dollar,4.12,US Dollar,Credit Card,0
2022/09/01 00:22,011265,800BD0DD0,011265,800BD0DD0,14.29,US Dollar,14.29,US Dollar,Reinvestment,0
2022/09/01 00:27,001889,800BDCE50,020,800BF1EB0,6.58,US Dollar,6.58,US Dollar,Credit Card,0
2022/09/01 00:08,001120,800BDD510,001277,800AC3D20,33.81,US Dollar,33.81,US Dollar,Credit Card,0
2022/09/01 00:15,011222,800BDD9E0,021566,816C60240,73.59,US Dollar,73.59,US Dollar,Credit Card,0
2022/09/01 00:25,011701,800BDDA30,021566,816C60240,31.86,US Dollar,31.86,US Dollar,Credit Card,0
2022/09/01 00:07,01217,800BDE6A0,028625,80362AF40,134.62,US Dollar,134.62,US Dollar,Credit Card,0
2022/09/01 00:20,0224,800BE1240,0224,800BE1240,2109.57,US Dollar,2109.57,US Dollar,Reinvestment,0
2022/09/01 00:28,021939,800E3E3F0,01422,800BE1960,140.00,US Dollar,140.00,US Dollar,Cheque,0
2022/09/01 00:21,001277,800BE94E0,001277,800BE94E0,2496595.06,US Dollar,2496595.06,US Dollar,Reinvestment,0
2022/09/01 00:11,032161,800C2E440,032161,800C2E440,19359.00,US Dollar,19359.00,US Dollar,Reinvestment,0
2022/09/01 00:01,001277,800C2E610,001277,800C2E610,14049.01,US Dollar,14049.01,US Dollar,Reinvestment,0
2022/09/01 00:26,001277,800C2E610,002175,800E38970,5116714.00,US Dollar,5116714.00,US Dollar,Cheque,0
2022/09/01 00:03,032529,800E39400,032529,800E39400,180.83,US Dollar,180.83,US Dollar,Reinvestment,0
2022/09/01 00:07,011046,800F6BC70,001439,800E3E300,2249241.00,US Dollar,2249241.00,US Dollar,Cheque,0
2022/09/01 00:17,021393,800E3E350,021393,800E3E350,2597.74,US Dollar,2597.74,US Dollar,Reinvestment,0
2022/09/01 00:29,021939,800E3E3F0,021939,800E3E3F0,18519.56,US Dollar,18519.56,US Dollar,Reinvestment,0
2022/09/01 00:01,011046,800F6BC70,011046,800F6BC70,79446.43,US Dollar,79446.43,US Dollar,Reinvestment,0
2022/09/01 00:19,02860,800BE1150,012204,800F6CC70,883116.54,US Dollar,883116.54,US Dollar,Cheque,0
2022/09/01 00:24,00349,800C2D690,012204,800F6DA10,88836.00,US Dollar,88836.00,US Dollar,Cheque,0
2022/09/01 00:14,012,80005C2E0,00349,800C2D690,4731.00,US Dollar,4731.00,US Dollar,ACH,0
2022/09/01 00:16,001277,800BE1290,001277,800BE1290,6.30,US Dollar,6.30,US Dollar,Reinvestment,0
2022/09/01 00:14,01422,800BE1960,0117301,806DCACA0,35.53,US Dollar,35.53,US Dollar,Credit Card,0
2022/09/01 00:02,001277,800BE94E0,001277,800BE94E0,5.31,US Dollar,5.31,US Dollar,Reinvestment,0
2022/09/01 00:10,001638,800C2D5F0,0217862,8129D2D20,40.98,US Dollar,40.98,US Dollar,Credit Card,0
2022/09/01 00:04,00394,800C2D860,00394,800C2D860,19.84,US Dollar,19.84,US Dollar,Reinvestment,0
2022/09/01 00:12,01291,800E38920,0117301,806DCACA0,66.34,US Dollar,66.34,US Dollar,Credit Card,0
2022/09/01 00:01,002175,800E38970,022124,8171A08F0,194.63,US Dollar,194.63,US Dollar,Credit Card,0
2022/09/01 00:28,011495,800E3CE80,0117301,806DCACA0,50.47,US Dollar,50.47,US Dollar,Credit Card,0
2022/09/01 00:27,001439,800E3E300,022124,8171A08F0,18.28,US Dollar,18.28,US Dollar,Credit Card,0
2022/09/01 00:05,021939,800E3E3F0,021939,800E3E3F0,5.38,US Dollar,5.38,US Dollar,Reinvestment,0
2022/09/01 00:27,0224,800E3E8A0,0224,800E3E8A0,5.04,US Dollar,5.04,US Dollar,Reinvestment,0
2022/09/01 00:08,011046,800F6BC70,011046,800F6BC70,3.54,US Dollar,3.54,US Dollar,Reinvestment,0
2022/09/01 00:16,012204,800F6CC70,0214000,808BC76C0,4.92,US Dollar,4.92,US Dollar,Credit Card,0
2022/09/01 00:23,022435,800F6D270,0217862,8129D2D20,169.65,US Dollar,169.65,US Dollar,Credit Card,0
2022/09/01 00:06,012204,800F6DA10,0043863,8171A0850,2.13,US Dollar,2.13,US Dollar,Credit Card,0
2022/09/01 00:19,012,800F70510,012,800F70510,717.98,US Dollar,717.98,US Dollar,Reinvestment,0
2022/09/01 00:15,032719,800F706E0,032719,800F706E0,475.51,US Dollar,475.51,US Dollar,Reinvestment,0
2022/09/01 00:04,001812,800F713D0,001812,800F713D0,20625.60,US Dollar,20625.60,US Dollar,Reinvestment,0
2022/09/01 00:16,001889,800F716F0,001889,800F716F0,12034.68,US Dollar,12034.68,US Dollar,Reinvestment,0
2022/09/01 00:29,012592,800F71C50,012592,800F71C50,12883.23,US Dollar,12883.23,US Dollar,Reinvestment,0
2022/09/01 00:04,002545,800F71F70,002545,800F71F70,4723.06,US Dollar,4723.06,US Dollar,Reinvestment,0
2022/09/01 00:20,013125,8014CA6D0,01231,800F738A0,1185530.00,US Dollar,1185530.00,US Dollar,Cheque,0
2022/09/01 00:29,001638,800F738F0,001638,800F738F0,12653.34,US Dollar,12653.34,US Dollar,Reinvestment,0
2022/09/01 00:05,022129,800F73940,022129,800F73940,5132.54,US Dollar,5132.54,US Dollar,Reinvestment,0
2022/09/01 00:00,00531,800F70C00,01291,800F73990,4341.99,US Dollar,4341.99,US Dollar,Cheque,0
2022/09/01 00:21,002545,800F77470,012592,800F74B80,1616.00,US Dollar,1616.00,US Dollar,ACH,0
2022/09/01 00:22,022481,800F75A50,022481,800F75A50,16129.71,US Dollar,16129.71,US Dollar,Reinvestment,0
2022/09/01 00:05,00531,800F6F960,00349,800F75F00,1976.57,US Dollar,1976.57,US Dollar,Cheque,0
2022/09/01 00:27,002545,800F77470,002545,800F77470,25838.52,US Dollar,25838.52,US Dollar,Reinvestment,0
2022/09/01 00:26,01217,800F778B0,01217,800F778B0,1772.36,US Dollar,1772.36,US Dollar,Reinvestment,0
2022/09/01 00:21,001812,800F713D0,013354,8013E3D20,483.00,US Dollar,483.00,US Dollar,ACH,0
2022/09/01 00:18,031587,8014C4D90,031587,8014C4D90,36.56,US Dollar,36.56,US Dollar,Reinvestment,0
2022/09/01 00:05,01422,8014CA630,00394,8014C5960,3479.00,US Dollar,3479.00,US Dollar,ACH,0
2022/09/01 00:28,001889,800F716F0,003389,8014C6120,4072.75,US Dollar,4072.75,US Dollar,ACH,0
2022/09/01 00:29,001812,800F713D0,013354,8014CA680,706.00,US Dollar,706.00,US Dollar,ACH,0
2022/09/01 00:23,020,80005A340,002545,800F71F70,19732.00,US Dollar,19732.00,US Dollar,ACH,0
2022/09/01 00:22,00531,800F6F960,00531,800F6F960,20.15,US Dollar,20.15,US Dollar,Reinvestment,0
2022/09/01 00:25,011222,800F70400,011968,80CB23DC0,56.02,US Dollar,56.02,US Dollar,Credit Card,0
2022/09/01 00:23,002545,800F704A0,015786,8131C2670,49.10,US Dollar,49.10,US Dollar,Credit Card,0
2022/09/01 00:05,012592,800F71C50,012592,800F71C50,14.72,US Dollar,14.72,US Dollar,Reinvestment,0
2022/09/01 00:15,01231,800F738A0,005621,806C2A240,450.34,US Dollar,450.34,US Dollar,Credit Card,0
2022/09/01 00:04,001638,800F738F0,001638,800F738F0,18.19,US Dollar,18.19,US Dollar,Reinvestment,0
2022/09/01 00:07,01291,800F73990,022224,812BE7D00,6.10,US Dollar,6.10,US Dollar,Credit Card,0
2022/09/01 00:10,011770,800F74340,0241912,810D61250,32.91,US Dollar,32.91,US Dollar,Credit Card,0
2022/09/01 00:22,012592,800F74B80,011968,80CB23DC0,4.72,US Dollar,4.72,US Dollar,Credit Card,0
2022/09/01 00:24,022364,800F75220,0114721,8118E7B00,11.13,US Dollar,11.13,US Dollar,Credit Card,0
2022/09/01 00:22,02860,800F75290,0151250,8131C2620,160.83,US Dollar,160.83,US Dollar,Credit Card,0
2022/09/01 00:03,022481,800F75A50,022481,800F75A50,18.79,US Dollar,18.79,US Dollar,Reinvestment,0
2022/09/01 00:18,00349,800F75F00,0223113,8113902E0,179.43,US Dollar,179.43,US Dollar,Credit Card,0
2022/09/01 00:00,001889,800F77250,011968,80CB23DC0,140.68,US Dollar,140.68,US Dollar,Credit Card,0
2022/09/01 00:01,013354,8013E3D20,0151250,8131C2620,17.57,US Dollar,17.57,US Dollar,Credit Card,0
2022/09/01 00:12,00394,8014C5960,008801,80CDF0700,42.64,US Dollar,42.64,US Dollar,Credit Card,0
2022/09/01 00:00,003389,8014C6120,011968,80CB23DC0,150.28,US Dollar,150.28,US Dollar,Credit Card,0
2022/09/01 00:02,013354,8014CA680,011968,80CB23DC0,121.19,US Dollar,121.19,US Dollar,Credit Card,0
2022/09/01 00:17,013354,8014D0C40,013354,8014D0C40,1578.16,US Dollar,1578.16,US Dollar,Reinvestment,0
2022/09/01 00:17,033563,8014D6EF0,033563,8014D6EF0,25238.42,US Dollar,25238.42,US Dollar,Reinvestment,0
2022/09/01 00:18,003533,8014D70C0,012063,8014D7070,1288507.00,US Dollar,1288507.00,US Dollar,ACH,0
2022/09/01 00:13,003533,8014D70C0,003533,8014D70C0,2383.60,US Dollar,2383.60,US Dollar,Reinvestment,0
2022/09/01 00:13,012966,8015238B0,012966,8015238B0,2049.68,US Dollar,2049.68,US Dollar,Reinvestment,0
2022/09/01 00:29,013474,8014CF900,0056335,81A89E7B0,16.48,US Dollar,16.48,US Dollar,Credit Card,0
2022/09/01 00:21,013354,8014D0C40,013354,8014D0C40,8.09,US Dollar,8.09,US Dollar,Reinvestment,0
2022/09/01 00:18,011,8014D2420,011,8014D2420,23.15,US Dollar,23.15,US Dollar,Reinvestment,0
2022/09/01 00:18,012063,8014D7070,028958,806B44A40,6.28,US Dollar,6.28,US Dollar,Credit Card,0
2022/09/01 00:16,022129,8014D7290,022129,8014D7290,12.18,US Dollar,12.18,US Dollar,Reinvestment,0
2022/09/01 00:13,001439,801533E70,001439,801533E70,14.24,US Dollar,14.24,US Dollar,Reinvestment,0
2022/09/01 00:26,013354,80145D9E0,013354,80145D9E0,6916720.40,US Dollar,6916720.40,US Dollar,Reinvestment,0
2022/09/01 00:26,020,801565C50,020,801565C50,684.65,US Dollar,684.65,US Dollar,Reinvestment,0
2022/09/01 00:28,031984,8015662B0,031984,8015662B0,237.10,US Dollar,237.10,US Dollar,Reinvestment,0
2022/09/01 00:09,033668,801566300,033668,801566300,4681.16,US Dollar,4681.16,US Dollar,Reinvestment,0
2022/09/01 00:26,001439,8015677E0,013125,8015664D0,337647.00,US Dollar,337647.00,US Dollar,ACH,0
2022/09/01 00:29,03914,80160DD30,03914,80160DD30,12093.52,US Dollar,12093.52,US Dollar,Reinvestment,0
2022/09/01 00:24,01217,801565CA0,003500,8072E32C0,31.28,US Dollar,31.28,US Dollar,Credit Card,0
2022/09/01 00:00,013125,8015664D0,022129,804192180,107.85,US Dollar,107.85,US Dollar,Credit Card,0
2022/09/01 00:00,002196,80160DD80,0234933,80CF296D0,19.09,US Dollar,19.09,US Dollar,Credit Card,0
2022/09/01 00:12,020,800044230,020,800044230,43754.43,US Dollar,43754.43,US Dollar,Reinvestment,0
2022/09/01 00:07,012,800056090,012,800056090,7666.72,US Dollar,7666.72,US Dollar,Reinvestment,0
2022/09/01 00:04,070,10042B660,020,800054200,700620.29,US Dollar,700620.29,US Dollar,Cheque,0
2022/09/01 00:06,001,800054290,001,800054290,891489.28,US Dollar,891489.28,US Dollar,Reinvestment,0
2022/09/01 00:13,001,800056ED0,001,800056ED0,32027235.31,US Dollar,32027235.31,US Dollar,Reinvestment,0
2022/09/01 00:05,001,800056ED0,001,800056ED0,21.08,US Dollar,21.08,US Dollar,Reinvestment,0
2022/09/01 00:04,020,800057270,020,800057270,392427.50,US Dollar,392427.50,US Dollar,Reinvestment,0
2022/09/01 00:16,020,800057660,020,800057660,5309.40,US Dollar,5309.40,US Dollar,Cheque,0
2022/09/01 00:22,012,800057E30,012,800057E30,291136.22,US Dollar,291136.22,US Dollar,Reinvestment,0
2022/09/01 00:01,012,800057E30,012,800057E30,8.77,US Dollar,8.77,US Dollar,Reinvestment,0
2022/09/01 00:14,020,8000581F0,020,8000581F0,23.00,US Dollar,23.00,US Dollar,Reinvestment,0
2022/09/01 00:25,020,800058C60,020,800058C60,894010.36,US Dollar,894010.36,US Dollar,Reinvestment,0
2022/09/01 00:12,020,800059410,020,800059410,122921.49,US Dollar,122921.49,US Dollar,Reinvestment,0
2022/09/01 00:25,020,8000563E0,020,8000563E0,32496.70,US Dollar,32496.70,US Dollar,Reinvestment,0
2022/09/01 00:05,001,80005A0E0,001,80005A0E0,15.33,US Dollar,15.33,US Dollar,Reinvestment,0
2022/09/01 00:16,020,80005A340,020,80005A340,1810272.39,US Dollar,1810272.39,US Dollar,Reinvestment,0
2022/09/01 00:27,0224,80005A930,0224,80005A930,18.84,US Dollar,18.84,US Dollar,Reinvestment,0
2022/09/01 00:17,0224,80005ACF0,0224,80005ACF0,95369.47,US Dollar,95369.47,US Dollar,Reinvestment,0
2022/09/01 00:05,020,80005B040,020,80005B040,117164.60,US Dollar,117164.60,US Dollar,Reinvestment,0
2022/09/01 00:28,020,80005B040,020,80005B040,15.81,US Dollar,15.81,US Dollar,Reinvestment,0
2022/09/01 00:06,011,800058480,011,800058480,190623.14,US Dollar,190623.14,US Dollar,Reinvestment,0
2022/09/01 00:22,011,80005BB60,011,80005BB60,1267704.14,US Dollar,1267704.14,US Dollar,Reinvestment,0
2022/09/01 00:00,001,80005CA70,001,80005CA70,20021.25,US Dollar,20021.25,US Dollar,Reinvestment,0
2022/09/01 00:10,001,80005CA70,001,80005CA70,31923.49,US Dollar,31923.49,US Dollar,Cheque,0
2022/09/01 00:14,020,80005CDA0,020,80005CDA0,9.58,US Dollar,9.58,US Dollar,Reinvestment,0
2022/09/01 00:04,012,80005D160,012,80005D160,11.41,US Dollar,11.41,US Dollar,Reinvestment,0
2022/09/01 00:27,020,80005DA20,020,80005DA20,96089.81,US Dollar,96089.81,US Dollar,Reinvestment,0
2022/09/01 00:28,020,80005DD70,020,80005DD70,14.62,US Dollar,14.62,US Dollar,Reinvestment,0
2022/09/01 00:03,011,80005E750,011,80005E750,188755.39,US Dollar,188755.39,US Dollar,Reinvestment,0
2022/09/01 00:06,011,80005E750,011,80005E750,81701.93,US Dollar,81701.93,US Dollar,Cheque,0
2022/09/01 00:08,011,80005E750,011,80005E750,7527.70,US Dollar,7527.70,US Dollar,Credit Card,0
2022/09/01 00:09,011,80005E750,011,80005E750,201551.63,US Dollar,201551.63,US Dollar,Wire,0
2022/09/01 00:28,012,80005EA80,012,80005EA80,10406.57,US Dollar,10406.57,US Dollar,Cheque,0
2022/09/01 00:18,012,80005EA80,012,80005EA80,17355.00,US Dollar,17355.00,US Dollar,Cash,0
2022/09/01 00:27,001,80005F620,001,80005F620,686.74,US Dollar,686.74,US Dollar,Cheque,0
2022/09/01 00:10,001,80005F620,001,80005F620,2124.57,US Dollar,2124.57,US Dollar,Credit Card,0
2022/09/01 00:05,001,80005F620,001,80005F620,343.56,US Dollar,343.56,US Dollar,ACH,0
2022/09/01 00:09,020,80005F910,020,80005F910,22.22,US Dollar,22.22,US Dollar,Reinvestment,0
2022/09/01 00:17,011,8000ED820,011,8000ED820,17.83,US Dollar,17.83,US Dollar,Reinvestment,0
2022/09/01 00:19,011,8000EDF00,011,8000EDF00,1092631.31,US Dollar,1092631.31,US Dollar,Reinvestment,0
2022/09/01 00:06,020,8000EE770,020,8000EE770,11.08,US Dollar,11.08,US Dollar,Reinvestment,0
2022/09/01 00:24,020,8000EEC20,020,8000EEC20,12462.52,US Dollar,12462.52,US Dollar,Reinvestment,0
2022/09/01 00:09,012,8000EF760,012,8000EF760,6263655.65,US Dollar,6263655.65,US Dollar,Reinvestment,0
2022/09/01 00:23,020,800057BB0,012,8000EF760,145706.30,US Dollar,145706.30,US Dollar,Cheque,0
2022/09/01 00:21,020,800057BB0,012,8000EF760,21801.96,US Dollar,21801.96,US Dollar,Wire,0
2022/09/01 00:10,0224,8000F0B00,0224,8000F0B00,727.67,US Dollar,727.67,US Dollar,Reinvestment,0
2022/09/01 00:03,011,8000F9340,011,8000F9340,254047.50,US Dollar,254047.50,US Dollar,Reinvestment,0
2022/09/01 00:20,0224,80005B7C0,0224,80005B7C0,9992.86,US Dollar,9992.86,US Dollar,Reinvestment,0
2022/09/01 00:22,012,8000F8D20,012,8000F8D20,594.24,US Dollar,594.24,US Dollar,Reinvestment,0
2022/09/01 00:18,020,8000F8990,0139833,812116FE0,32.70,US Dollar,32.70,US Dollar,Credit Card,0
2022/09/01 00:09,020,8000F8CD0,020,8000F8CD0,10.79,US Dollar,10.79,US Dollar,Reinvestment,0
2022/09/01 00:00,011,8000FA930,011,8000FA930,32420.35,US Dollar,32420.35,US Dollar,Reinvestment,0
2022/09/01 00:04,011,8000FAE50,011,8000FAE50,318410.69,US Dollar,318410.69,US Dollar,Reinvestment,0
2022/09/01 00:03,020,800058C10,011,8000FAE50,69522.31,US Dollar,69522.31,US Dollar,Cheque,0
